id	uid	ts
188	654	2017-01-24 15:18:22
189	458	2017-01-24 17:08:43
190	654	2017-01-25 10:17:02
191	458	2017-01-25 11:17:36
192	478	2017-01-25 12:14:26
193	450	2017-01-25 12:18:58
194	658	2017-01-25 13:41:20
195	458	2017-01-25 15:26:38
196	659	2017-01-25 15:36:50
197	458	2017-01-25 18:20:38
198	413	2017-01-26 00:46:00
199	660	2017-01-26 00:54:43
200	660	2017-01-26 00:55:21
201	660	2017-01-26 00:56:10
202	592	2017-01-26 11:31:48
203	393	2017-01-26 19:18:34
204	592	2017-01-27 10:50:11
205	458	2017-01-27 17:04:11
206	393	2017-01-27 17:24:37
207	463	2017-01-27 17:26:26
208	592	2017-01-27 17:36:07
209	393	2017-01-27 17:37:31
210	592	2017-01-27 18:02:59
211	463	2017-01-27 18:39:53
212	458	2017-01-27 18:40:14
213	492	2017-01-27 19:27:56
214	592	2017-01-27 19:39:42
215	393	2017-01-27 23:42:11
216	393	2017-01-28 11:51:12
217	478	2017-01-28 11:53:14
218	427	2017-01-28 12:25:24
219	463	2017-01-28 13:43:46
220	492	2017-01-28 15:11:19
221	515	2017-01-28 15:16:21
222	458	2017-01-28 16:38:32
223	462	2017-01-28 16:52:05
224	462	2017-01-28 16:55:33
225	462	2017-01-28 16:58:00
226	462	2017-01-28 17:00:54
227	466	2017-01-28 17:01:23
228	462	2017-01-28 17:01:49
229	458	2017-01-28 17:03:44
230	462	2017-01-28 17:06:16
231	458	2017-01-28 17:08:37
232	462	2017-01-28 17:09:29
233	458	2017-01-28 17:13:38
234	530	2017-01-29 13:35:22
235	463	2017-01-30 12:26:23
236	458	2017-01-30 12:34:55
237	458	2017-01-30 12:42:44
238	463	2017-01-30 12:53:46
239	500	2017-01-30 13:43:44
240	393	2017-01-30 14:06:37
241	393	2017-01-30 14:06:56
242	662	2017-01-30 17:20:18
243	662	2017-01-30 17:20:36
244	463	2017-01-30 18:04:41
245	500	2017-01-30 18:46:23
246	663	2017-01-31 12:03:23
247	463	2017-01-31 12:13:57
248	458	2017-01-31 13:39:31
249	664	2017-01-31 13:55:13
250	664	2017-01-31 13:55:45
251	664	2017-01-31 14:08:43
252	458	2017-01-31 14:17:32
253	653	2017-01-31 15:42:57
254	470	2017-01-31 15:53:13
255	653	2017-01-31 15:57:22
256	463	2017-01-31 16:04:56
257	653	2017-01-31 16:11:42
258	463	2017-01-31 16:15:06
259	466	2017-01-31 16:20:18
260	653	2017-01-31 16:21:59
261	665	2017-01-31 18:02:03
262	466	2017-01-31 18:06:21
263	492	2017-01-31 18:22:02
264	585	2017-01-31 18:56:09
265	463	2017-01-31 19:05:24
266	458	2017-02-01 11:57:50
267	492	2017-02-01 13:13:45
268	458	2017-02-01 13:17:09
269	500	2017-02-01 16:47:35
